SELECT json_validate(string), string FROM test_strings;
 json_validate |                          string                          
 t             | 3e+1
 f             | .5
 f             | +.5
 f             | .5e+1
 t             | [ 7]
 t             | [7 ]
 t             | [7]
 f             | .e-14234
 t             | "hello"
 t             | ["hello"]
 t             | ["hello", "bye"]
 t             | ["hello", "bye\n"]
 t             | ["hello", "bye\n\r\t"]
 t             | ["hello", "bye\n\r\t\b"]
 t             | ["hello", "bye\n\r\t\b",true]
 t             | ["hello", "bye\n\r\t\b",true , false]
 t             | ["hello", "bye\n\r\t\b",true , false,    null]
 f             | ["hello", "bye\n\r\t\v"]
 t             | {"hello":true}
 t             | {"hello":true, "bye":false}
 t             | {"hello":true, "bye":false, "foo":["one","two","three"]}
 t             | "hi"
 t             | ["hi"]
 t             | ["hi", "bye"]
 t             | {"hi": "bye"}
 t             | ["hi", "bye", 3]
 t             | ["hi", "bye[", 3]
 t             | "\u0007"
 t             | "\u0008"
 t             | "\u0009"
 t             | "\u0010"
 t             | "\u0020"
 t             | "\u10000"
 t             | "\u1234"
 t             | "\u99999"
 t             | "\ud800\udc00"
 t             | "\uD800\uDC00"
 t             | "\uD834\uDD1E"
 t             | "\uDBFF\uDFFF"
 t             | "\uFFFD"
 t             | "\uFFFF"
 f             | hello
 t             | [32, 1]
 f             | [32, 
 t             | "\uD800\uDC00"
 t             | "\n"
 t             | "hello"
 t             | "hello\u0009world"
 t             | "hello"
 t             | "hello\n"
 t             | "hello"
 t             | 3
 f             | 3.
 f             | .3
 t             | 0.3
 f             | 0.3e
 f             | 0.3e+
 t             | 0.3e+5
 t             | 0.3e-5
 t             | 0.3e5
 t             | "hello"
 f             | +3
 t             | -3
 f             | -3.
 t             | -3.1
 f             | .5
 f             | 5.
 f             | 5.e1
 t             | 0.5
 f             | .3e1
 f             | .3e+1
 f             | .3e-1
 f             | .3e-1 .5
 f             | .3e-1.5
 f             | .3e+1.5
 f             | .3e+.
 f             | .3e+.5
 f             | .3e+1.5
 f             | 9.3e+1.5
 f             | 9.e+1.5
 f             | 9.e+
 f             | 9.e+1
 t             | "\""
 t             | "\"3.5"
 t             | "\"."
 f             | "\".".
 t             | "\"....."
 f             | "\"\"\"\"""
 f             | ["\"\"\"\"", .5]
 f             | [.5]
 t             | ["\"\"\"\"", 0.5]
 f             | ["\"\"\"\"", .5]
 f             | ["\"\"\"\"",.5]
 f             | ["\"",.5]
 f             | ["\".5",.5]
 f             | ["\".5",".5\"".5]
 f             | ["\".5",".5\"", .5]
 f             | ["\".5",".5\"",.5]
 t             | ["\".5",".5\"",0.5]
 f             | {"key":/*comment*/"value"}
 f             | {"key":/*comment"value"}
 f             | {"key":"value"}/*
 f             | {"key":"value"}/**/
 f             | {"key":"value"}/***/
 f             | {"key":"value"}/**//
 f             | {"key":"value"}/**///
 f             | {"key":"value"}/**///----
 f             | {"key":"value"}#
 f             | {"key":"value"}#{
 f             | {"key":"value"}#{}
 f             | {"key":"value"}#,
 f             | {"key":"value"/**/, "k2":"v2"}
 t             | "\u0027"
 f             | "hello\'"
 f             | 'hello\''
 f             | 'hello'
 f             | 'hell\'o'
 f             | '\'hello'
 f             | '\'hello\''
 f             | \'hello\'
 f             | 'hello\'
 f             | ['hello\']
 f             | ['hello\'']
 f             | ['hello"']
 f             | ['hello\"']
 f             | ['hello"o']
 f             | ['"']
 f             | '"'
 f             | '"hello"'
 f             | '"hello'
 f             | '"hi"'
 t             |          [ 1 , 2 , 3 ]    
 f             | nil
 f             | fals
 f             | falsify
 f             | falsetto
 f             | truism
 f             | {"key"
 f             | {"key","key2":null}
 t             | "\u0000"
(224 rows)

